quarter	date	bvid	dur_s	slice_start	slice_len	title
2024-Q1	2024-01-23	BV1FC4y1k7A9	31997	11198	420	【直播回放】幻兽帕鲁！！！ 2024年1月22日21点场
2024-Q1	2024-03-10	BV1yx4y1Q7ZL	17266	6043	420	【直播回放】法环/攀岩 2024年3月9日20点场
2024-Q2	2024-04-28	BV1Xz421S79X	12249	4287	420	【直播回放】剑星！ 2024年4月27日19点场
2024-Q2	2024-06-11	BV1yn4y197XH	2009	703	420	【直播回放】日3 2024年6月9日23点场
2024-Q3	2024-07-24	BV1iU411U7KB	12563	4397	420	【直播回放】中国式网游 2024年07月23日20点场
2024-Q3	2024-09-10	BV1WjpJeVENK	15021	5257	420	【直播回放】宇宙机器人！！！！！！！ 2024年09月09日14点场
2024-Q4	2024-10-22	BV1Xsy7YRE4D	8311	2908	420	【直播回放】看看 2024年10月21日22点场
2024-Q4	2024-12-04	BV1TSzmYpEmK	7864	2752	420	【直播回放】浪人崛起通关喵 2024年12月03日16点场
2025-Q1	2025-01-22	BV1mxwaeAEWL	11963	4187	420	【直播回放】看WSS直面会2025/主播女孩重度依赖网络梗打字通/你好我们还有场恋爱没谈/打字通内置横版游戏/黏黏世界2 2025年01月21日19点场
2025-Q1	2025-03-05	BV1R29WYTEfE	15414	5394	420	【直播回放】雀友人南/怪物猎人荒野（6）/雀魂段位 2025年03月04日22点场
2025-Q2	2025-04-21	BV1MxLKz9EVp	24114	600	420	【直播回放】天国拯救（32）（完结） 2025年04月20日21点场
2025-Q2	2025-06-10	BV1hgTqzdE7W	7405	2591	420	【直播回放】睡前看会百日战纪（26）领袖魅力线开坑 2025年06月10日00点场
2025-Q3	2025-07-25	BV1NMbyzoE1c	15901	5565	420	【直播回放】明末渊虚之羽（1.1） 2025年07月24日13点场
2025-Q3	2025-09-05	BV1F7abzjEDW	14854	5198	420	【直播回放】丝之歌开荒（2） 2025年09月05日13点场
2025-Q4	2025-10-23	BV1XFsYzZEEw	13041	4564	420	【直播回放】忍者龙剑传4好难喵/宝可梦za喵（8） 2025年10月22日23点场
2025-Q4	2025-12-07	BV1Bf29BvEBE	16481	5768	420	【直播回放】命运2反叛（2）/33号远征队（11） 2025年12月06日19点场
2026-Q1	2026-01-23	BV1CLzcBzEPb	12327	4314	420	【直播回放】生化危机8（6）主线完结/四月侦探喵/年度挚爱 2026年01月22日21点场
2026-Q1	2026-03-06	BV1j4Pyz7EoV	8685	3039	420	【直播回放】pokopia宝可梦种田（3） 2026年03月05日22点场
2026-Q2	2026-04-18	BV1i8dLBVEEF	8507	2977	420	【直播回放】兔兔秘密花园2（1）/识质存在（2） 2026年04月17日22点场
2026-Q2	2026-05-18	BV1vc5Z6ZEg4	10693	600	420	【直播回放】【补档】兔兔秘密花园2（4）/朋友收集梦想生活（11） 2026年05月18日01点场
2026-Q2	2026-06-15	BV1V7JM6aEXK	6311	2208	420	【直播回放】薛定谔的电话（4） 2026年06月15日02点场
2021-Q4	2021-10-06	BV15r4y127MX	6153	2153	420	【直播回放】二创鉴赏第3期喵 2021年10月5日20点场
2021-Q4	2021-12-26	BV1Mi4y1R7h2	17008	5952	420	【直播回放】死亡细胞 / 睡前聊聊看看喵 2021年12月25日21点场
2022-Q1	2022-01-03	BV1Jq4y127sk	18679	6537	420	【直播回放】观众参与型雀魂 / 超级马里奥3 / 聊天 2022年1月2日21点场
2022-Q1	2022-02-17	BV1pR4y1L7gL	21910	7668	420	【直播回放】Infernax /聊天/看狸猫 2022年2月16日19点场
2022-Q2	2022-04-18	BV1234y1Y7Wy	16423	5748	420	【直播回放】看二创视频 / 初见植物大战僵尸喵 2022年4月17日20点场
2022-Q2	2022-05-12	BV1tv4y1P7f8	15679	5487	420	【直播回放】95年的植物吃僵尸喵 2022年5月11日20点场
2022-Q3	2022-07-06	BV1SB4y1i7Cs	16751	5862	420	【直播回放】晕 2022年7月5日20点场
2022-Q3	2022-08-27	BV1qe4y1Z75x	16575	5801	420	【直播回放】女妖玩女鬼 2022年8月26日20点场
2022-Q4	2022-10-11	BV1pT411N7Mu	23262	8141	420	【直播回放】快乐聊天 2022年10月11日6点场
2022-Q4	2022-11-17	BV1it4y1N7Mu	7531	2635	420	【直播回放】睡前bb 2022年11月16日23点场
2023-Q1	2023-01-07	BV1YM41187Vz	15949	5582	420	【直播回放】塞尔达吃饭喵 2023年1月6日20点场
2023-Q1	2023-03-27	BV1eL411Q781	19396	6788	420	【直播回放】小菲唠 / 奇点时代 / 恐怖图 /原神 2023年3月26日19点场
2023-Q2	2023-04-02	BV1b24y1j7kA	15325	5363	420	【直播回放】化身魂小鬼 2023年4月1日20点场
2023-Q2	2023-05-16	BV1iT411t7Xm	29835	10442	420	【直播回放】塞尔达是天！！ 2023年5月15日15点场
2023-Q3	2023-07-12	BV1Mh4y1j7kj	19474	6815	420	【直播回放】空洞骑士苍白宫廷跳跳乐 2023年7月12日9点场
2023-Q3	2023-08-18	BV14N41167pX	23303	8156	420	【直播回放】我是林尼和琳妮特的新妈妈 2023年8月17日13点场
2023-Q4	2023-10-09	BV15m4y1g7rB	15382	5383	420	【直播回放】原神、工作音 2023年10月8日21点场
2023-Q4	2023-11-19	BV1aC4y1m7rr	18104	6336	420	【直播回放】原 2023年11月18日19点场
2024-Q1	2024-01-13	BV1xa4y1174A	15117	5290	420	【直播回放】魂2/健身环大冒险 2024年1月12日20点场
2024-Q1	2024-02-27	BV1bz421R7fw	13165	4607	420	【直播回放】杂谈/反转21克 2024年2月26日19点场
2024-Q2	2024-05-07	BV1KM4m1d7R7	15771	5519	420	【直播回放】看雏草姬的信/读空气1+2/咒怨录像带版1 2024年5月6日20点场
2024-Q2	2024-06-02	BV19D421u7yw	9792	3427	420	【直播回放】奶嘴杂谈/nana34~38 2024年6月1日19点场
2024-Q3	2024-07-11	BV1g1421k7CE	25744	9010	420	【直播回放】看超话二创/剑星/雀魂/植物1把/暑假 2024年07月10日18点场
2024-Q3	2024-08-27	BV1aE4m197V3	17173	6010	420	【直播回放】黑神话电视剧/杂谈/落日山丘 2024年08月26日19点场
2024-Q4	2024-11-12	BV1svmpYNEUw	15551	5442	420	【直播回放】杂谈/铁甲小宝8/超阈值空间/杂交植物 2024年11月11日19点场
2024-Q4	2024-11-18	BV1hWU7YcEYm	17948	6281	420	【直播回放】杂谈/下辈子再好好做人/植物人/怪猎崛起 2024年11月17日19点场
2025-Q1	2025-01-25	BV1YYfWYyEQG	15535	5437	420	【直播回放】终焉之玛格诺利亚/雀魂活动&鉴赏立绘 2025年01月25日00点场
2025-Q1	2025-03-23	BV1VYX8Y7EDq	19235	6732	420	【直播回放】深夜杂谈/天国拯救（23） 2025年03月23日02点场
2025-Q2	2025-05-10	BV1q9VDzxENh	34411	12043	420	【直播回放】午夜漫步（1）/晕3D杂谈/植物大战僵尸抽卡版（3）/玉之间/百日战纪（15）死亡游戏篇END85～87、89、90 2025年05月09日20点场
2025-Q2	2025-06-12	BV1mfMpzSEYC	15041	5264	420	【直播回放】采蘑菇模拟器/水手服3d杂谈/猫的孩子 2025年06月11日22点场
2025-Q3	2025-07-04	BV1dA3uzaEqE	14418	5046	420	【直播回放】黑夜君临历战王慧心虫削之前的打了好几把(11）/盲盒派对（12） 2025年07月03日14点场
2025-Q3	2025-08-12	BV1cqtUz8EJL	16789	5876	420	【直播回放】四海兄弟（3）/0点后祝taffy自己生日快乐喵 2025年08月11日21点场
2025-Q4	2025-10-07	BV1tGxEz7Ehe	7651	2677	420	【直播回放】中秋杂谈/看恐怖片饭沼一家（1、2） 2025年10月06日21点场
2025-Q4	2025-11-22	BV1rkUjBBEKj	14924	5223	420	【直播回放】33号远征队（4）/小小梦魇2（3完结） 2025年11月21日22点场
2026-Q1	2026-01-21	BV1nkknBYEAw	15891	5561	420	【直播回放】轮椅模拟器clear/年度挚爱x2+杂谈 2026年01月20日21点场
2026-Q1	2026-03-19	BV16SwqzhE97	15529	5435	420	【直播回放】3d杂谈/推子7、8/pokopia11 2026年03月18日21点场
2026-Q2	2026-04-06	BV1S7SXBsE8p	15711	5498	420	【直播回放】小菲杂谈/继续哀鸿城破十日记（3） 2026年04月05日21点场
